filename;date;text;poison
UNK_240988.txt;24/09/1888;"Sep 24 1888



Dear sir



I do wish to give myself up I am in misery with nightmare I am the man who committed all these murders in the last six months my name is so [silhouette of coffin] and so I am a horse slauterer and work at Name [blocked out] address [blocked out] I have found the woman I wanted that is chapman and I done what I called slautered her but if any one comes I will surrender but I am not going to walk to the station by myself so I am yours truly [silhouette of coffin]/



 keep the Boro road clear or I might take a trip up there



photo

[silhouette of knife]

of knife



this is the knife that I done these murders with it is a handle with a large long blade sharpe both sides";
JR_270988 - DEAR BOSS.txt;27/09/1888;"25 Sept. 1888.



Dear Boss



I keep on hearing the police have caught me but they wont fix me just yet. I have laughed when they look so clever and talk about being on the right track. That joke about Leather apron gave me real fits. I am down on whores and I shant quit ripping them till I do get buckled. Grand work the last job was. I gave the lady no time to squeal. How can they catch me now. I love my work and want to start again . you will soon hear of me with my funny little games . I saved some of the proper red stuff in a ginger beer bottle over the last job to write with but it went thick like glue and I cant use it. Red ink is fit enough I hope ha. ha. The next job I do I shall clip the lady s ear off and send to the police officers just for jolly wouldnt you . Keep this letter back till I do a bit more work then give it out straight . My knife's so nice and sharp I want to get to work right away if I get a chance. Good luck.



yours truly



Jack the Ripper



Dont mind me giving the trade name



wasnt good enough to post this before I got all the red ink off my hands curse it.



No luck yet. They say I'm a doctor now ha ha";
JR_011088 - SAUCY JACKY.txt;01/10/1888;"I wasnt codding dear old Boss when I gave you the tip, you ll hear about saucy Jacky s work tomorrow double event this time number one squealed a bit couldnt finish straight off. had not time to get ears for police thanks for keeping last letter back till I got to work again.

Jack the Ripper";
RI_011088.txt;01/10/1888;"London E.



Monday.



I am so pleased to see another chance of ripping up a dear creature. I shall be in Buck's Row or very close to between 12 & 2 in morning on Wednesday I have got/ the girl set & as I have been offered dooble money for her woomb and lower part of body mean to have them at any price I do like to find them nice parts. I do pity Leather Apron. I've got some/ 

one to write this for me.



yours truly



Boss



Ripper";X
GEO_021088.txt;02/10/1888;"Dear Boss



Since last splendid success . two more & never a squeal. oh I am master of the art. I am going to be heavy on the guilded whores now, we are . some dutchess will cut up nicely & the lace will show nicely. You wonder how ! oh we are masters no education like a butchers no animal like a nice woman . the fat are best On to Brighton for a holiday but we shant idle splendid high class women there my mouth waters . Good luck there . If not you will hear from me in West End . My pal will keep on at the east a while yet . When I get a nobility womb I will send it on to C. Warren or perhaps to you for a keepsake 

O it is jolly .



George of the high Rip



Gang



[drawing of knife] red ink still but a drop of the real in it";X
JR_031088.txt;03/10/1888;I will write to you again soon / Just a card to let you know that I shall (if possible) do some more of my business in the West part of London & I hope to be able to send you my victims ears. I was not able to last time. My bloody ink is now running out so I must get some more. It amuses me that you think I am mad you will see when I am caught but it is death to the first man who touches me. It will be most probably the end of October or it may be before all depends Jack the Ripper;x
JR_041088.txt;04/10/1888;"October 4th 1888



Spring Heel Jack



The Whitechapel Murderer



I am an american I have been in london the last ten months and have murdered no less than six women I mean to make a dozen of it now while I am about it I think I may as well have six men in blue to make the number as I see there is a few too many knocking about the East End looking for me but I am close upon their heel every day and will be for some time yet and I was in the crowd at Berners Street watching the blue boys wash the blood marks away sorry to give you so much trouble but what I have sworne to do I will at the cost of my own life at nights I have been sleeping in Bow cemetery one thing I have to tell you know is the policemen who has found the women it is those/ I mean settleing as they will not g[et]  the chance of giving evidence against me I shall have to shift or short my quarters from Bow cemetary as I have enlightened you a bit about I have written this on the Embankment near Waterloo.



Jack the Ripper



I will rip a few maore

So help my God I

Will [drawing of two daggers]";x
JR_041088_2.txt;04/10/1888;"Prepare for thy doom. For I mean to settle you You villain you've lived long enough



Yours Truly



Jack the Ripper'";
JR_041088_3.txt;04/10/1888;"Bolton Oct 4th 1888

Dear Gentlemen. I have got to Bolton, and I have got a scent of another Girl. of mine that has been at London and I shall do it for her. i have one to do in Bolton  and one to finish in Burnley Lancashire before Oct 14th and I will give myself up at Manchester this part of country is slow and innocent I am getting sick so I will not be long before I have finished my work

Yours Jack the ripper/

I have written this in a hurry I have not got a stamp, its to late but I shall stay at Bolton until I accomplish my work

and then 20 to Burnley

Jack the Ripper

I shall give myself up on Oct 14th";X
JR_041088_4.txt;04/10/1888;"Dear Boss excuse slang



I hearby wish to give you notice that on october 7th 1888 I Jack the Ripper will rid the world of a dark & fair whore the ears & noses shall be cut off & sent as a reward to the [illegible]first nabs me I come down to Brixton for a walk to day business I mean.



old Charles Warren



shall die



Jack Ripper";X
UNK_041088.txt;04/10/1888;I beg to inform the police I am the Whitechapel murder I intend to commit two murders in the Haymarket tonight take a note of this Whitechape is to warm for one now my knife has not/ been found yet for I still have the knife I intend to keep it untill I finish 20 then try & find me;X
BR_051088.txt;05/10/1888;"Friday Oct 5

88/



I hereby notefy that I am going to pay your Girls a visit I here that they a bragging what they will [ ] do with me I am going to see what a few of them have in their Bellies and I will take it out of them so that they will never have any more of it on the quite



Dear Boss RIPPER



I am in Poplar today";
JC_051088.txt;05/10/1888;"Boss



Have arrived safe Here after a pleasant journey I murdered a woman last night and have cut off her womb I shall sent it by parcels post. I like the work some more blood the last letter was not from me



I remain



Jack the cunquerer



Amen



He[illeg.]";X
JR_051088.txt;05/10/1888;"Dr Boss You have not found me yet I have done another one and thrown it in the river and I mean doing another one before the weeks out. You can put as many bloodhounds a you like but you will never catch me Yours



Truly



Jack Ripper";X
JR_051088_2.txt;05/10/1888;"[Drawing of knife & X bones] 55, Flower & Dean street Whitechapel



Get your type ready my boys I'll give you a job for your paper I'm going to vissit Hackney on Saturday night Ill have a corpse in the Churchyard for parson Sundy morning Glorious fun. 14 more to make the twenty. Good luckk



Jack the Ripper";X
JR_051088_3.txt;05/10/1888;"Dear Boss if you are willing enough to catch me I am now in City Road lodging but the number you will have to find out and I mean to 

do another murder tonight in Whitechapel Yours Jack The Ripper";X
JR_051088_4 - MIDIAN.txt;05/10/1888;"5 Oct 1888



Dear Friend



In the name of God hear me I swear I did not kill the female whose body was found at Whitehall, If she was an honest woman I will hunt down and destroy

Her murderer. If she was a whore God will bless the hand that slew her, for the women of of Moab and Midian shall die and their blood shall mingle with the dust. I never harm any others or the Divine power that protects and helps me in my grand work would quit for ever. Do as I do and the light of glory shall shine upon you. I must get to work tomorrow treble event this time  yes yes three must be ripped . will send you a bit of face by post I promise this dear old Boss . The police

now reckon my work a practical joke, well well Jacky's a very practical joker ha ha ha Keep this back till three are wiped out and you can show the cold meat



Yours truly



Jack the Ripper";X
LA_061088.txt;06/10/1888;"Friday Oct 5/10/8



A WARNING



At midnight  A woman will be murdered at the High Level St.



Be on you guard



Leather  Apron";X
WK_061088.txt;06/10/1888;"Dear Sir



I don't think I do enough murders so shall not only do them in Whitechapel but in Brixton, Battersea & Clapham. If I cant get enough women to do I shall cut up men, boys & girls. Just to keep my hand in practice. Ha! ha! You will never find me in Whitechapel. By the discription in the papers 5 ft 7 inches is all wrong. Ha! Ha. I expect to rip up a woman or to on the Common at Clapham Junction one day

turn next week. Ha.ha.ha. I will send you the heart by pacels post.



Ha!Ha!



By By



Dear Sir

Yours when Caught



The Whore Killer";X
JR_071088.txt;07/10/1888;"Oct 7 1888



Dear Boss



Just a few lines to tell you I shall begin my knife operations again on or near Blackfriars Bridge this time I shall Do for three ['of' deleted] more women I shall keep on till ten more is out of the way then I shall give myself up I am now lodging in a lodging house and my name & address you will have to find out.



Yours truly



Jack The Ripper";
LAJR_071088.txt;07/10/1888;"Saturday 7/8/8/8



Dear Old Boss



You see I have some Black blood instead of Red [ ] know I did not have a chance to do what I intended on Saturday night Else there would have been another horrible murder in the East End I will give my self up 8 o'clock @ Peckham Station

Monday I am wearing a lights'uit With love to all



{Leather Apron}

{Jack the Ripper}";
JR_081088.txt;08/10/1888;"6 Oct 1888



You though your-self very clever I reckon when you informed the police But you made a mistake, if you though I dident see you now I know you know me and I see your little game, and I mean to finish you and send your ears to your wife if you show this to the police or help them if you do I will finish you. It no use your trying to get out of my way Because I have you when you don't expect it and I keep my word as you soon see and rip you up



Yours truly Jack the Ripper



[vertically down left side] You see I know your address";
